Paper#Ref;Input Modalities > Metadata;Input Modalities > Image;Input Modalities > Text / Tags / Categories (+) (+);Input Modalities > Input Shape (predefined collage shape);Input Modalities > File structure;Input Modalities > Predefined Story graph (+);Input Modalities > Supplementary Data;Derived Data > Image Features / Visual Features (+);Derived Data > Blur for Photo Quality Measurement;Derived Data > Quartets... Summarization or derived Data?;Derived Data > Scene Graphs;Derived Data > Histograms;Derived Data > DoF Evaluation for Photo Quality Measurement;Derived Data > Categorization Tree;Derived Data > Classical image features;Derived Data > Tags Created;Derived Data > Distance Graph;Derived Data > Aesthetic Score;Derived Data > Color Histograms;Derived Data > Importance Score;Derived Data > Salient Objects;Derived Data > Bag of Words, Textual;Derived Data > Spectrum;Derived Data > Features created by NN;Derived Data > Concepts created by NN;Derived Data > Distance Matrix;Derived Data > Image Aesthetic Appeal (Aspect Ratio, colorfulness, luminacne, sharpness);Derived Data > Sentiment derived from Text/Comments;Derived Data > Semantics;Derived Data > Histogram intersection kernel HIK;Derived Data > Affective Features;Derived Data > Grayscale Images;Derived Data > Similarity matrix;Derived Data > Story graph;Derived Data > Affect/sentiment data;Summarization > User Selection;Summarization > Clustering;Summarization > Decompose the categorization tree;Summarization > Sub-Graph Selection (+);Summarization > Optimization for lowest reconstruction error;Summarization > Latent Topic Analysis;Summarization > Ranking;Summarization > Constraint Satisfaction;Summarization > Matrix factorization;Summarizing Entities > Marks;Summarizing Entities > Representative Images;Summarizing Entities > Captions;Summarizing Entities > None;Summarizing Entities > Tags;Visual Layout > Grid;Visual Layout > Node-Link DIagram;Visual Layout > None OR NOT STATED;Visual Layout > Word cloud;Visual Layout > Map;Visual Layout > Treemap;Visual Layout > Collage;Visual Layout > Labeled;Visual Layout > Embedding;Visual Layout > List;Visual Layout > images surrounding tag cloud;Visual Layout > Timeline;Visual Layout > Bar chart;Visual Layout > Circular;Tasks > Exploration;Tasks > Managing. Providing an Overview over personal Photo Album;Tasks > labeling / classification ... is this part of the Thesis?;Tasks > Editing/Organizing;Tasks > Captioning;Tasks > Summarization;Tasks > Making Sense of Structure .... Summarization?;Tasks > Finding Needle in Haystack;Tasks > Storytelling;Tasks > Analytic categorization;Tasks > Comparison;Tasks > Navigation;Set size > Tens of Thousands;Set size > not really mentioned;Set size > Thousands;Set size > <100;Set size > Tens;Set size > Millions;Set size > Hundreds of Thousands;Set size > Hundreds;Set size > Dozens;Evaluation > User study / Empirical Study (+);Evaluation > Metrics / performance Measures = Quantitative Experiments? (+);Evaluation > Qualitative Evaluation;Evaluation > Quantitative Experiments;Evaluation > None;Evaluation > Pyramid Approach;Evaluation > Use case;Interactions > Tagging;Interactions > None;Interactions > Zooming;Interactions > Grouping;Interactions > Selection;Interactions > Turning;Interactions > Querying;Interactions > Panning (+);Interactions > Filtering;Interactions > Focus + context;Application Area > forensics;Application Area > medical;Application Area > personal photo album;Application Area > General purpose;Application Area > generic;Unnamed: 107
Comparing Personal Image Collections with PICTuReVis#http://zotero.org/groups/3431/items/EEELP2V2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;5;0;0;0;6;0;0;0;6;0;0;0;0;6;0;6;6;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;9;0;0;11;0;0;0;0;0;0;0;0;0;0;7;0;0;0;7;0;10;0;0;0;0;
Learning crowdsourced user preferences for visual summarization of image collections#http://zotero.org/groups/3431/items/PECZIRJ3;2;2;2;0;0;0;2;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;3;0;4;0;0;0;0;4;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;11;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Generating visual story graphs with application to photo album summarization#http://zotero.org/groups/3431/items/CMMBXLJF;2;2;2;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;4;0;4;0;0;0;4;0;5;5;5;0;5;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;0;0;9;0;0;0;0;0;9;9;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;
A summarized photo visualization system with maximal clique finding algorithm#http://zotero.org/groups/3431/items/VUKTFF64;2;0;0;0;0;0;0;0;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;5;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;11;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Similarity-based visualization of large image collections#http://zotero.org/groups/3431/items/FF2IHK9E;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;0;0;3;3;0;0;0;4;0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;7;0;7;0;7;7;0;0;0;0;0;
A kernel-based framework for image collection exploration#http://zotero.org/groups/3431/items/5TRRFRRV;0;2;2;0;0;0;0;3;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;0;0;0;4;0;0;0;0;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;
A joint optimization model for image summarization based on image content and tags#http://zotero.org/groups/3431/items/25TPE85J;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;5;0;0;0;0;0;6;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
PRISM: Concept-preserving social image search results summarization#http://zotero.org/groups/3431/items/IA8E5FHA;0;2;2;0;0;0;0;3;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;5;0;0;0;6;0;6;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;9;0;0;0;0;0;0;11;11;0;11;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
Visualizing multimodal image collections#http://zotero.org/groups/3431/items/V7VMZ3FL;0;2;2;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;5;5;0;0;5;0;6;0;6;0;0;0;0;0;6;6;0;0;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;11;0;0;0;11;0;11;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;
Multimodal latent topic analysis for image collection summarization#http://zotero.org/groups/3431/items/6N94DJ5E;0;2;2;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;5;0;0;5;0;0;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;11;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;
